home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,day,n_people_infected,n_clinicians_infected,n_patients_infected,n_family_infected,n_contacts
True,True,0.1,5,53,1377,0,501,876,979970
True,True,0.1,5,54,1377,0,501,876,998460
True,True,0.1,5,55,1377,0,501,876,1016950
True,True,0.1,5,56,1377,0,501,876,1035440
True,True,0.1,5,57,1377,0,501,876,1053930
True,True,0.1,5,58,1377,0,501,876,1072420
True,True,0.1,5,59,1377,0,501,876,1090910
True,True,0.1,5,60,1377,0,501,876,1109400
True,True,0.1,6,1,917,0,299,618,18490
True,True,0.1,6,2,917,0,299,618,36980
True,True,0.1,6,3,917,0,299,618,55470
True,True,0.1,6,4,917,0,299,618,73960
True,True,0.1,6,5,977,1,319,657,92450
True,True,0.1,6,6,1033,1,335,697,110940
True,True,0.1,6,7,1095,1,352,742,129430
True,True,0.1,6,8,1139,1,365,773,147920
True,True,0.1,6,9,1200,1,393,806,166410
True,True,0.1,6,10,1242,1,406,835,184900
True,True,0.1,6,11,1295,1,426,868,203390
True,True,0.1,6,12,1298,1,426,871,221880
True,True,0.1,6,13,1305,1,429,875,240370
True,True,0.1,6,14,1309,1,431,877,258860
True,True,0.1,6,15,1316,1,435,880,277350
True,True,0.1,6,16,1330,1,437,892,295840
True,True,0.1,6,17,1334,1,437,896,314330
True,True,0.1,6,18,1338,1,438,899,332820
True,True,0.1,6,19,1340,1,439,900,351310
True,True,0.1,6,20,1340,1,439,900,369800
True,True,0.1,6,21,1342,1,441,900,388290
True,True,0.1,6,22,1342,1,441,900,406780
True,True,0.1,6,23,1342,1,441,900,425270
True,True,0.1,6,24,1342,1,441,900,443760
True,True,0.1,6,25,1342,1,441,900,462250
True,True,0.1,6,26,1342,1,441,900,480740
True,True,0.1,6,27,1342,1,441,900,499230
True,True,0.1,6,28,1342,1,441,900,517720
True,True,0.1,6,29,1342,1,441,900,536210
True,True,0.1,6,30,1342,1,441,900,554700
True,True,0.1,6,31,1342,1,441,900,573190
True,True,0.1,6,32,1342,1,441,900,591680
True,True,0.1,6,33,1342,1,441,900,610170
True,True,0.1,6,34,1342,1,441,900,628660
True,True,0.1,6,35,1342,1,441,900,647150
True,True,0.1,6,36,1342,1,441,900,665640
