home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts
False,False,0.1,6,6000,413,20,0,12000,893,18020,1306,1086000
False,False,0.1,7,6000,442,20,2,12000,847,18020,1291,1086000
False,False,0.1,8,6000,419,20,1,12000,879,18020,1299,1086000
False,False,0.1,9,6000,438,20,1,12000,891,18020,1330,1086000
False,False,0.1,10,6000,450,20,2,12000,908,18020,1360,1086000
False,False,0.1,11,6000,466,20,0,12000,903,18020,1369,1086000
False,False,0.1,12,6000,387,20,0,12000,870,18020,1257,1086000
False,False,0.1,13,6000,476,20,1,12000,899,18020,1376,1086000
False,False,0.1,14,6000,415,20,3,12000,833,18020,1251,1086000
False,False,0.1,15,6000,437,20,0,12000,824,18020,1261,1086000
False,False,0.1,16,6000,446,20,0,12000,847,18020,1293,1086000
False,False,0.1,17,6000,418,20,4,12000,806,18020,1228,1086000
False,False,0.1,18,6000,421,20,2,12000,883,18020,1306,1086000
False,False,0.1,19,6000,429,20,1,12000,849,18020,1279,1086000
False,False,0.1,20,6000,413,20,2,12000,869,18020,1284,1086000
False,False,0.1,21,6000,480,20,0,12000,927,18020,1407,1086000
False,False,0.1,22,6000,430,20,0,12000,889,18020,1319,1086000
False,False,0.1,23,6000,432,20,0,12000,861,18020,1293,1086000
False,False,0.1,24,6000,425,20,1,12000,850,18020,1276,1086000
False,False,0.1,25,6000,408,20,2,12000,889,18020,1299,1086000
False,False,0.1,26,6000,457,20,1,12000,916,18020,1374,1086000
False,False,0.1,27,6000,440,20,0,12000,881,18020,1321,1086000
False,False,0.1,28,6000,412,20,1,12000,888,18020,1301,1086000
False,False,0.1,29,6000,443,20,2,12000,887,18020,1332,1086000
False,False,0.1,30,6000,437,20,1,12000,867,18020,1305,1086000
False,False,0.1,31,6000,443,20,0,12000,854,18020,1297,1086000
False,False,0.1,32,6000,465,20,0,12000,909,18020,1374,1086000
False,False,0.1,33,6000,424,20,0,12000,891,18020,1315,1086000
False,False,0.1,34,6000,458,20,1,12000,839,18020,1298,1086000
False,False,0.1,35,6000,462,20,0,12000,931,18020,1393,1086000
False,False,0.1,36,6000,470,20,0,12000,921,18020,1391,1086000
False,False,0.1,37,6000,482,20,0,12000,885,18020,1367,1086000
False,False,0.1,38,6000,388,20,1,12000,830,18020,1219,1086000
False,False,0.1,39,6000,438,20,0,12000,865,18020,1303,1086000
False,False,0.1,40,6000,425,20,1,12000,903,18020,1329,1086000
False,False,0.1,41,6000,410,20,1,12000,837,18020,1248,1086000
False,False,0.1,42,6000,426,20,2,12000,857,18020,1285,1086000
False,False,0.1,43,6000,428,20,1,12000,814,18020,1243,1086000
False,False,0.1,44,6000,415,20,1,12000,855,18020,1271,1086000
False,False,0.1,45,6000,453,20,0,12000,885,18020,1338,1086000
False,False,0.1,46,6000,484,20,2,12000,905,18020,1391,1086000
False,False,0.1,47,6000,444,20,2,12000,895,18020,1341,1086000
False,False,0.1,48,6000,457,20,2,12000,899,18020,1358,1086000
False,False,0.1,49,6000,442,20,2,12000,894,18020,1338,1086000
False,False,0.1,50,6000,463,20,0,12000,893,18020,1356,1086000
False,False,1.0,1,6000,441,20,1,12000,919,18020,1361,1086000
False,False,1.0,2,6000,464,20,1,12000,957,18020,1422,1086000
False,False,1.0,3,6000,421,20,2,12000,876,18020,1299,1086000
False,False,1.0,4,6000,418,20,3,12000,794,18020,1215,1086000
False,False,1.0,5,6000,445,20,2,12000,883,18020,1330,1086000
False,False,1.0,6,6000,465,20,1,12000,928,18020,1394,1086000
False,False,1.0,7,6000,470,20,1,12000,915,18020,1386,1086000
False,False,1.0,8,6000,419,20,0,12000,881,18020,1300,1086000
False,False,1.0,9,6000,439,20,2,12000,867,18020,1308,1086000
False,False,1.0,10,6000,435,20,1,12000,898,18020,1334,1086000
False,False,1.0,11,6000,428,20,2,12000,849,18020,1279,1086000
False,False,1.0,12,6000,471,20,1,12000,897,18020,1369,1086000
False,False,1.0,13,6000,452,20,3,12000,938,18020,1393,1086000
False,False,1.0,14,6000,422,20,2,12000,852,18020,1276,1086000
False,False,1.0,15,6000,447,20,0,12000,889,18020,1336,1086000
False,False,1.0,16,6000,425,20,1,12000,928,18020,1354,1086000
False,False,1.0,17,6000,426,20,0,12000,847,18020,1273,1086000
