home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,p_external_infection_per_day,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts
False,False,0.1,0.0,38,6000,469,20,1,12000,873,18020,1343,1086000
False,False,0.1,0.02,38,6000,4779,20,12,12000,9526,18020,14317,1086000
False,False,1.0,0.0,38,6000,419,20,0,12000,870,18020,1289,1086000
False,False,1.0,0.02,38,6000,4760,20,15,12000,9611,18020,14386,1086000
True,True,0.1,0.0,39,6000,410,20,0,12000,844,18020,1254,1109400
True,True,0.1,0.02,39,6000,4786,20,15,12000,9568,18020,14369,1109400
True,True,1.0,0.0,39,6000,431,20,6,12000,913,18020,1350,1109400
True,True,1.0,0.02,39,6000,4809,20,19,12000,9631,18020,14459,1109400
True,False,0.1,0.0,39,6000,467,20,0,12000,887,18020,1354,1098000
True,False,0.1,0.02,39,6000,4760,20,12,12000,9546,18020,14318,1098000
True,False,1.0,0.0,39,6000,445,20,3,12000,876,18020,1324,1098000
True,False,1.0,0.02,39,6000,4803,20,13,12000,9559,18020,14375,1098000
False,True,0.1,0.0,39,6000,450,20,1,12000,860,18020,1311,1097400
False,True,0.1,0.02,39,6000,4756,20,18,12000,9494,18020,14268,1097400
False,True,1.0,0.0,39,6000,423,20,0,12000,842,18020,1265,1097400
False,True,1.0,0.02,39,6000,4758,20,17,12000,9670,18020,14445,1097400
False,False,0.1,0.0,39,6000,404,20,1,12000,887,18020,1292,1086000
False,False,0.1,0.02,39,6000,4835,20,13,12000,9536,18020,14384,1086000
False,False,1.0,0.0,39,6000,481,20,1,12000,923,18020,1405,1086000
False,False,1.0,0.02,39,6000,4742,20,14,12000,9513,18020,14269,1086000
True,True,0.1,0.0,40,6000,458,20,2,12000,941,18020,1401,1109400
True,True,0.1,0.02,40,6000,4759,20,15,12000,9516,18020,14290,1109400
True,True,1.0,0.0,40,6000,463,20,0,12000,866,18020,1329,1109400
True,True,1.0,0.02,40,6000,4740,20,17,12000,9476,18020,14233,1109400
True,False,0.1,0.0,40,6000,423,20,3,12000,867,18020,1293,1098000
