appointment_type,clinicians_meet_each_other,behavioural_infectivity_multiple_if_symptomatic,p_baseline_infected,p_external_infection_per_day,n_patients_per_household,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts,n_clinician_patient_contacts
home_visit,True,1.0,0.01,0.0,8,6,6000,6676,20,3,8151,9778,14171,16457,7977924,6000
home_visit,True,1.0,0.01,0.0,9,6,6000,9628,20,3,8067,14139,14087,23770,8869062,6000
home_visit,True,1.0,0.01,0.0,10,6,6000,10578,20,1,8067,15635,14087,26214,9866837,6000
home_visit,False,1.0,0.01,0.0,1,6,6000,107,20,0,8151,236,14171,343,847911,6000
home_visit,False,1.0,0.01,0.0,2,6,6000,346,20,0,8067,668,14087,1014,1822854,6000
home_visit,False,1.0,0.01,0.0,3,6,6000,1024,20,1,8104,1894,14124,2919,2849352,6000
home_visit,False,1.0,0.01,0.0,4,6,6000,1781,20,0,8151,3091,14171,4872,3888504,6000
home_visit,False,1.0,0.01,0.0,5,6,6000,2190,20,6,8183,3422,14203,5619,4912975,6000
home_visit,False,1.0,0.01,0.0,6,6,6000,4100,20,3,8151,6531,14171,10634,5923926,6000
home_visit,False,1.0,0.01,0.0,7,6,6000,5982,20,2,8183,9258,14203,15243,6950375,6000
home_visit,False,1.0,0.01,0.0,8,6,6000,7350,20,4,8331,11193,14351,18548,8150808,6000
home_visit,False,1.0,0.01,0.0,9,6,6000,9261,20,6,8104,13791,14124,23059,8904366,6000
home_visit,False,1.0,0.01,0.0,10,6,6000,10567,20,5,8104,15367,14124,25939,9931840,6000
home_visit,True,1.0,0.01,0.0,1,7,6000,129,20,0,8151,312,14171,441,859311,6000
home_visit,True,1.0,0.01,0.0,2,7,6000,325,20,3,8159,681,14179,1009,1865437,6000
home_visit,True,1.0,0.01,0.0,3,7,6000,933,20,0,8104,1769,14124,2702,2860752,6000
home_visit,True,1.0,0.01,0.0,4,7,6000,1680,20,3,8104,2997,14124,4682,3875270,6000
